price,location,house_type,rooms,bathrooms,rent_duration,estate name,condition,furnishing,facilities,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
600000,"enugu, enugu / enugu state",Apartment,2,2,per annum,unknown,Fairly Used,Semi-Furnished,"chandelier,pop ceiling,hot water,wi-fi,balcony,kitchen cabinets,dining area,kitchen shelf,24 hours electricity,air conditioning,microwave,dishwasher",semi_urban,yes,no,yes,yes,yes,enugu,no
800000,"enugu, enugu / enugu state",Bungalow,2,3,per annum,unknown,Fairly Used,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
600000,"enugu, enugu / enugu state",Block of Flats,2,3,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
1200000,"enugu, enugu / enugu state",Bungalow,2,3,per annum,golf extension,Newly Built,Semi-Furnished,"pre paid meter,24 hours electricity,apartment,balcony,tiled floor,kitchen shelf,kitchen cabinets",semi_urban,no,yes,no,no,no,enugu,no
1500000,"enugu, enugu / enugu state",Apartment,2,3,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
500000,"enugu, enugu / enugu state",Apartment,2,2,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
550000,"enugu, enugu / enugu state",Apartment,2,3,per quarter,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
500000,"rivers, obio-akpor",Block of Flats,1,2,per annum,mandela estate sars road,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,yes
250000,"rivers, obio-akpor",Block of Flats,1,1,per annum,akwaka rumuodumaya potharcourt,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
450000,"rivers, port-harcourt",Apartment,1,2,per annum,ada george,Newly Built,Semi-Furnished,"wardrobe,balcony,dishwasher,pop ceiling,hot water,kitchen shelf,kitchen cabinets,pre paid meter,tiled floor",rural,yes,yes,no,no,no,rivers,no
800000,"rivers, port-harcourt",Apartment,1,2,per annum,rumuibekwe estate ph,Fairly Used,Unfurnished,none,rural,no,no,no,no,no,rivers,yes
270000,"rivers, obio-akpor",House,1,1,per annum,unknown,Fairly Used,Semi-Furnished,"balcony,dining area,kitchen shelf,kitchen cabinets,tiled floor,wardrobe,24 hours electricity,apartment",rural,no,no,yes,no,no,rivers,no
600000,"rivers, obio-akpor",Apartment,1,2,per annum,unknown,Newly Built,Furnished,"24 hours electricity,apartment,balcony,dining area,hot water,kitchen cabinets,kitchen shelf,pop ceiling,pre paid meter,tiled floor,wardrobe",rural,no,yes,yes,no,no,rivers,no
500000,"rivers, obio-akpor",Block of Flats,1,2,per annum,mandela estate sars road,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,yes
270000,"rivers, obio-akpor",Apartment,1,1,per annum,unknown,Fairly Used,Semi-Furnished,"balcony,dining area,kitchen cabinets,tiled floor,wardrobe,24 hours electricity",rural,no,no,yes,no,no,rivers,no
600000,"rivers, obio-akpor",Block of Flats,1,2,per quarter,unknown,Newly Built,Semi-Furnished,"24 hours electricity,balcony,pop ceiling,hot water,kitchen cabinets,dining area,pre paid meter",rural,no,yes,yes,no,no,rivers,no
400000,"rivers, obio-akpor",Block of Flats,1,1,per quarter,unknown,Newly Built,Semi-Furnished,"tiled floor,hot water,balcony,24 hours electricity,pop ceiling,kitchen cabinets,pre paid meter,wardrobe",rural,no,yes,no,no,no,rivers,no
10000,"imo, owerri",Apartment,5,5,per month,royal albert serviced apartment,Newly Built,Furnished,"24 hours electricity,air conditioning,apartment,balcony,chandelier,dining area,dishwasher,hot water,kitchen cabinets,kitchen shelf,microwave,pop ceiling,refrigerator,tiled floor,tv,wardrobe",semi_urban,yes,no,yes,yes,yes,imo,no
10000,"imo, owerri",Bungalow,5,5,per month,royal albert serviced apartments,Newly Built,Furnished,"24 hours electricity,air conditioning,apartment,balcony,chandelier,dining area,dishwasher,hot water,kitchen cabinets,kitchen shelf,microwave,pop ceiling,refrigerator,tiled floor,tv,wardrobe",semi_urban,yes,no,yes,yes,yes,imo,no
10000,"imo, owerri",Apartment,5,5,per month,royal albert serviced apartment,Newly Built,Furnished,"24 hours electricity,air conditioning,apartment,balcony,chandelier,dining area,dishwasher,hot water,kitchen cabinets,kitchen shelf,microwave,pop ceiling,refrigerator,tiled floor,tv,wardrobe",semi_urban,yes,no,yes,yes,yes,imo,no
2000000,"imo, owerri",Duplex,5,5,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,imo,no
1500000,"imo, owerri",Duplex,5,5,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,imo,no
1500000,"imo, owerri",Duplex,5,5,per annum,unknown,Fairly Used,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
1500000,"imo, owerri",Duplex,5,5,per annum,unknown,Fairly Used,Furnished,none,semi_urban,no,no,no,no,no,imo,no
2500000,"imo, owerri",Duplex,5,5,per annum,unknown,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
