price,house_type,rooms,bathrooms,condition,furnishing,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
13.38472764187182,1,2,3,1,2,1,0,0,0,0,0,4,1
13.527828485512494,1,2,3,1,2,1,1,1,1,1,1,0,0
14.22097566607244,2,2,3,1,0,1,0,0,0,0,0,4,0
14.690979295318174,1,2,3,0,2,1,0,0,0,0,0,4,1
12.765688433465597,0,2,3,1,2,2,1,1,1,0,0,3,0
13.592367006650065,0,2,3,1,2,1,1,1,1,1,1,1,0
13.592367006650065,1,2,3,1,2,1,1,1,1,1,1,0,1
17.216707939626428,1,2,2,0,2,3,1,0,1,1,1,5,0
14.28551418721001,1,2,3,0,2,1,0,0,0,0,0,4,1
13.122363377404328,1,2,3,0,0,1,0,1,1,0,0,0,0
13.458835614025542,1,2,3,1,2,1,0,0,0,0,0,4,1
12.611537753638338,0,2,1,1,0,1,0,0,0,0,0,1,0
13.458835614025542,0,2,3,1,1,1,1,0,1,0,0,0,0
14.22097566607244,2,2,3,1,0,1,0,0,0,0,0,4,1
13.122363377404328,1,2,3,0,1,1,0,1,1,0,0,0,0
15.424948470398375,0,2,3,0,2,3,1,1,1,1,1,5,0
13.592367006650065,0,2,2,1,0,1,1,0,1,0,0,5,0
14.077874822431765,0,2,3,0,1,1,0,1,1,0,1,5,1
13.815510557964274,0,2,3,1,1,2,1,1,0,0,1,0,0
13.527828485512494,1,2,3,0,0,2,0,1,1,0,0,5,1
12.89921982609012,1,2,3,1,2,1,0,0,0,0,0,4,1
14.28551418721001,0,2,2,0,0,1,0,0,1,0,1,1,0
14.22097566607244,1,2,3,1,0,1,0,0,0,0,0,4,0
14.603967918328545,0,2,2,1,2,1,1,0,0,0,0,4,0
13.122363377404328,0,2,3,1,1,1,0,1,1,0,0,0,0
14.22097566607244,0,2,3,1,1,1,0,1,1,0,1,0,0
13.592367006650065,0,2,2,1,1,2,0,0,0,0,0,5,1
15.38412647587812,0,2,2,1,0,2,0,0,0,0,0,5,0
13.217673557208654,0,2,3,1,0,1,1,0,0,0,0,1,0
13.592367006650065,1,2,3,1,1,1,0,0,0,0,0,4,0
14.914122846632385,1,2,3,1,1,1,0,1,1,0,0,4,0
13.017002861746503,0,2,2,0,1,1,0,1,1,0,0,0,0
13.997832114758229,0,2,3,1,0,1,0,0,0,0,0,4,0
12.765688433465597,0,2,2,1,0,1,1,1,1,0,0,1,0
13.122363377404328,1,3,3,0,2,1,0,0,1,0,1,5,0
16.11809565095832,0,3,3,1,2,3,1,1,1,0,1,5,0
15.789591583986283,0,3,4,1,1,1,1,0,1,0,1,5,0
15.60727002719233,2,3,3,1,1,3,0,1,1,0,0,5,0
14.295241720968521,0,3,4,1,1,1,0,1,1,0,0,0,0
14.690979295318174,0,3,4,1,1,2,0,1,1,0,0,2,0
14.73180128983843,1,3,4,0,2,1,0,0,0,0,0,5,1
16.454567887579532,1,3,3,1,0,3,0,0,0,0,0,5,0
14.508657738524219,0,3,3,0,0,2,0,1,1,0,1,5,0
14.467835744003965,1,3,2,0,2,1,0,1,0,0,0,0,0
16.11809565095832,2,3,4,0,2,1,0,1,1,0,1,0,0
15.068273526459642,0,3,3,0,0,3,0,0,0,0,0,5,0
13.458835614025542,1,3,3,0,1,1,0,1,1,0,0,0,1
16.454567887579532,0,3,3,0,0,3,0,0,0,0,0,5,0
13.38472764187182,2,3,3,0,1,1,0,1,1,0,0,5,0
15.761420707019587,1,3,4,1,1,2,1,1,1,1,1,0,0
14.403297222866392,1,3,4,1,0,1,0,0,0,0,0,5,0
14.978661367769956,1,3,4,1,1,2,0,0,1,0,1,3,0
12.206072645530174,1,3,3,0,0,1,0,0,0,0,0,0,0
16.523560759066484,0,3,4,0,1,3,0,0,0,0,0,5,0
14.077874822431765,0,3,4,1,1,3,1,1,1,0,1,5,0
14.508657738524219,0,3,3,1,1,3,0,0,0,0,0,5,0
15.424948470398375,2,3,4,0,0,3,0,0,0,0,0,5,0
15.068273526459642,0,3,3,1,1,3,0,0,0,0,0,5,0
13.458835614025542,0,3,3,0,1,2,0,1,1,0,0,2,0
14.73180128983843,2,3,4,1,2,1,0,0,0,0,0,0,1
14.914122846632385,0,3,4,0,1,3,1,1,1,0,1,5,0
13.458835614025542,0,3,2,0,0,2,0,1,0,0,0,5,1
13.815510557964274,1,3,4,0,2,2,0,0,0,0,0,5,1
12.89921982609012,0,3,4,1,2,1,0,0,1,0,0,5,0
15.60727002719233,2,3,4,0,0,2,0,0,0,0,0,5,0
13.122363377404328,0,3,3,1,0,1,0,0,1,0,0,0,0
13.458835614025542,0,3,4,0,2,2,0,1,1,0,0,2,0
16.300417207752275,0,3,3,1,2,3,0,0,0,0,0,5,0
14.077874822431765,0,3,4,0,1,3,0,0,0,0,0,5,0
16.11809565095832,1,3,4,1,1,3,1,1,1,0,1,5,0
12.89921982609012,0,3,3,1,0,1,0,0,0,0,0,1,0
13.304684934198283,0,3,4,1,0,1,0,0,1,0,0,0,0
12.89921982609012,0,3,3,1,0,1,0,0,0,0,0,1,0
