price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,PROPERTY SIZE,CONDITION,FURNISHING,PETS,FACILITIES,SERVICE CHARGE,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE
"₦ 700,000","Lagos, Yaba, Akoka",Mini Flat,1 bedroom,1 bathroom,per annum,"Obayan Street, Akoka, Yaba",,,Fairly Used,Unfurnished,,"Balcony,Kitchen Cabinets,Tiled Floor,Apartment,Dishwasher,Kitchen Shelf",Yes,140000,140000,50000
"₦ 750,000","Lagos, Yaba, Akoka",Mini Flat,1 bedroom,1 bathroom,per annum,"Obayan Street, Akoka, Yaba",,,Fairly Used,Unfurnished,,"Kitchen Shelf,Tiled Floor,Hot Water,Dishwasher,Apartment",Yes,150000,75000,50000
"₦ 900,000","Lagos, Ajah, Sangotedo",Block of Flats,1 bedroom,1 bathroom,per annum,Brand New room and parlour mini flat at Silverland Estate,Silver land Estate Sangotedo,,Newly Built,Furnished,,,,,,
"₦ 220,000","Oyo, Oluyole",Block of Flats,1 bedroom,1 bathroom,per annum,KUOLA JANKATA,Jankata road,500 sqm,Newly Built,Semi-Furnished,No Pets,"Dishwasher,24 Hours Electricity,Pre Paid Meter,Apartment,Tiled Floor",,,,
"₦ 270,000","Kaduna, Chikun",Block of Flats,1 bedroom,2 bathrooms,anually,Barnawa,New estate,,Newly Built,Furnished,,"Pop Ceiling,Hot Water,Balcony,Kitchen Cabinets,Pre Paid Meter,Wardrobe,Kitchen Shelf,24 Hours Electricity,Tiled Floor",,27000,,
"₦ 180,000",none,Apartment,1 bedroom,1 bathroom,per quarter,ajegunle area off asa dam,ajegunle,120 sqm,Newly Built,Unfurnished,,"24 Hours Electricity,Kitchen Cabinets,Dishwasher,Apartment",Yes,50000,,10000
"₦ 400,000","Abuja, Lugbe District",Bungalow,1 bedroom,1 bathroom,per annum,Pyakassa Lugbe,,200 sqm,Newly Built,Semi-Furnished,,"Kitchen Cabinets,Hot Water,Pre Paid Meter,Wardrobe,Apartment,Tiled Floor,Balcony,Kitchen Shelf",Yes,10,5,
"₦ 170,000",none,Room & Parlour,1 bedroom,1 bathroom,per annum,isutiroad,,,Newly Built,Furnished,,,,,,
"₦ 230,000","Nasarawa, Karu-Nasarawa",Block of Flats,1 bedroom,1 bathroom,per annum,"Beside Lapai Estate, Karu, Mararaba,",Beside Lapai estate,500 sqm,Newly Built,Semi-Furnished,No Pets,"Kitchen Cabinets,Kitchen Shelf,Refrigerator,TV,Balcony,Pop Ceiling,Dining Area,Air Conditioning,Pre Paid Meter,24 Hours Electricity,Tiled Floor,Apartment",,,,
"₦ 72,000",none,Mini Flat,1 bedroom,1 bathroom,per annum,"Ijolu Community, behind school of health, Ilese",His Grace Hostel,,Newly Built,Unfurnished,No Pets,"Balcony,Pre Paid Meter,24 Hours Electricity,Dishwasher",,,,
"₦ 600,000",none,Block of Flats,1 bedroom,1 bathroom,anually,at the back of roban store ind.layout.,,,Newly Built,Semi-Furnished,,"Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,TV,Wardrobe,Balcony",,,,
"₦ 170,000","Kaduna, Chikun",Block of Flats,1 bedroom,1 bathroom,per quarter,Clean self contain at Barnawa high cost KD,Barnawa,450 sqm,Fairly Used,Semi-Furnished,No Pets,"Pre Paid Meter,Kitchen Cabinets,Hot Water,Kitchen Shelf,Tiled Floor,Wardrobe,Balcony",,,,
"₦ 550,000","Lagos, Lekki",Block of Flats,1 bedroom,1 bathroom,anually,PUMP AND SELL ON ADDO ROAD AFTER BLENCO SUPERMARKET AJAH,PUMP AND SELL,350 sqm,Fairly Used,Semi-Furnished,No Pets,"Tiled Floor,Dishwasher,Pop Ceiling,Wi-Fi,Chandelier,Pre Paid Meter,24 Hours Electricity,Balcony",,55000,55000,50000
"₦ 600,000","Lagos, Ajah, Ado / Ajah",Block of Flats,1 bedroom,2 bathrooms,per annum,ROCK STONE ESTATE ALONG BADORE ROAD AJAH,ROCK STONE ESTATE,420 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Hot Water,Dining Area,Pre Paid Meter,Tiled Floor,Pop Ceiling,Balcony,Kitchen Shelf,Wi-Fi,Kitchen Cabinets,Dishwasher,24 Hours Electricity,Wardrobe,Chandelier",Yes,60000,60000,50000
"₦ 1,800,000","Lagos, Lekki",Block of Flats,1 bedroom,2 bathrooms,per annum,Chevron,Chevyview,,Newly Built,Semi-Furnished,,"Balcony,Kitchen Cabinets,Tiled Floor,Kitchen Shelf,Pre Paid Meter,Dining Area,Dishwasher,Pop Ceiling,Hot Water,TV",Yes,180000,180000,200
"₦ 250,000","Oyo, Oluyole",Bungalow,1 bedroom,1 bathroom,per annum,JANKATA KUOLA,Jankata Sreet,650 sqm,Newly Built,Semi-Furnished,No Pets,"Balcony,24 Hours Electricity,Dishwasher,Pre Paid Meter,Tiled Floor,Kitchen Shelf",,,,
"₦ 130,000","Cross River, Calabar",Bungalow,1 bedroom,1 bathroom,per annum,Behind crutech staff quarters,,450 sqm,Newly Built,Unfurnished,No Pets,,,,,
"₦ 150,000",none,Room & Parlour,1 bedroom,1 bathroom,per annum,Palace Road,,,Newly Built,Semi-Furnished,,,Yes,20000,,
"₦ 15,000,000","Enugu, Enugu / Enugu State",Farm House,1 bedroom,1 bathroom,per annum,Abakpa Enugu,,700 sqm,Fairly Used,Furnished,,"Pre Paid Meter,24 Hours Electricity",,,,
"₦ 600,000",none,Block of Flats,1 bedroom,2 bathrooms,per annum,"Alakahia, Obio / Akpor LGA. Rivers State",,,,Unfurnished,,,,,,
